Feature,Feature ID,Testcase ID,Testcase Name,Test Status,Log Reference
Chọn màu sắc,F-SPD-02,TC-SPD-02-01,Chọn màu → size khả dụng cập nhật; màu hết hàng bị mờ,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Chọn kích cỡ,F-SPD-03,TC-SPD-03-01,Chọn size → hiện đúng tồn kho của biến thể,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Tăng/giảm số lượng,F-SPD-04,TC-SPD-04-01,Không tăng được vượt tồn kho của biến thể,Pass,R3 2026-08-04 12:05 · vitest src/composables/useCart.test.js (20/20) · frontend 132/132
Thêm vào giỏ từ chi tiết,F-SPD-05,TC-SPD-05-01,Thêm vào giỏ → đúng biến thể (màu/size) trong giỏ,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Mua ngay,F-SPD-06,TC-SPD-06-01,Mua ngay → sang /gio-hang với dòng vừa chọn,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Đặt trước từ chi tiết,F-SPD-07,TC-SPD-07-01,Biến thể hết hàng → đặt trước lưu được,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Xem giỏ hàng,F-CART-01,TC-CART-01-01,Thêm hàng rồi F5 → giỏ vẫn còn (localStorage),Pass,R3 2026-08-04 12:05 · vitest src/composables/useCart.test.js (20/20) · frontend 132/132
Sửa số lượng trong giỏ,F-CART-02,TC-CART-02-01,Tăng/giảm số lượng → tổng tiền cập nhật đúng,Pass,R3 2026-08-04 12:05 · vitest src/composables/useCart.test.js (20/20) · frontend 132/132
Sửa số lượng trong giỏ,F-CART-02,TC-CART-02-02,"Tăng vượt tồn → bị chặn, số lượng giữ nguyên",Pass,R3 2026-08-04 12:05 · vitest src/composables/useCart.test.js (20/20) · frontend 132/132
Xoá dòng khỏi giỏ,F-CART-03,TC-CART-03-01,"Xoá 1 dòng → dòng biến mất, tổng tiền đúng",Pass,R3 2026-08-04 12:05 · vitest src/composables/useCart.test.js (20/20) · frontend 132/132
Xoá toàn bộ giỏ,F-CART-04,TC-CART-04-01,Xoá hết giỏ → giỏ trống sau khi F5,Pass,R3 2026-08-04 12:05 · vitest src/composables/useCart.test.js (20/20) · frontend 132/132
Đặt hàng online,F-CART-05,TC-CART-05-01,"Đặt hàng → tạo hoá đơn Chờ giao, hiện mã đơn",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Đặt hàng online,F-CART-05,TC-CART-05-02,Đặt hàng → tồn kho biến thể giảm đúng số lượng,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Đặt hàng online,F-CART-05,TC-CART-05-03,"Đặt hàng khi backend lỗi → toast lỗi thật, KHÔNG xoá giỏ",Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Tra cứu đơn theo SĐT,F-CART-06,TC-CART-06-01,Nhập SĐT đã đặt → hiện đúng danh sách đơn,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Tra cứu đơn theo SĐT,F-CART-06,TC-CART-06-02,"SĐT không có đơn → thông báo rỗng, không lỗi",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Khách xác nhận đã nhận hàng,F-CART-07,TC-CART-07-01,"Bấm ""Đã nhận hàng"" → trạng thái đơn đổi, F5 vẫn giữ",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Màn xác nhận sau đặt hàng,F-CART-08,TC-CART-08-01,Sau đặt hàng hiện mã đơn + nút Mua tiếp / Xem đơn của tôi,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
KPI hôm nay,F-DASH-01,TC-DASH-01-01,KPI khớp với dữ liệu hoá đơn trong ngày,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Tổng quan doanh thu,F-DASH-02,TC-DASH-02-01,"Chỉ tính hoá đơn Thành công/Đã giao, bỏ đơn Huỷ và Trả hàng",Pass,R3 2026-08-04 12:05 · surefire HoaDonDoanhThuTest (4/4) · backend 48/48
Doanh thu theo ngày/tháng/năm,F-DASH-03,TC-DASH-03-01,Đổi năm → 3 biểu đồ cập nhật đúng kỳ,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Bộ lọc năm,F-DASH-04,TC-DASH-04-01,"Danh sách năm lấy từ dữ liệu thật, không hardcode",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Top sản phẩm bán chạy,F-DASH-05,TC-DASH-05-01,Top sản phẩm khớp số lượng đã bán trong DB,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Báo cáo dòng tiền,F-DASH-06,TC-DASH-06-01,Dòng tiền vào/ra khớp hoá đơn + trả hàng,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Báo cáo ROI,F-DASH-07,TC-DASH-07-01,"ROI hiện dữ liệu THẬT, không phải roiMock",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Retention,F-DASH-08,TC-DASH-08-01,Retention khớp số khách quay lại,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Trending,F-DASH-09,TC-DASH-09-01,"Trending hiện dữ liệu thật, không phải trendingMock",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Xuất Excel,F-DASH-10,TC-DASH-10-01,"Bấm Xuất Excel → tải BShoes-ThongKe.xls mở được, đúng KPI",Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Fallback mock dashboard,F-DASH-11,TC-DASH-11-01,Backend lỗi → màn phải báo rõ là dữ liệu demo,Pass,"R3 2026-08-04 14:00 · Edge headless + CDP · mở / khi API lỗi → banner ""ĐANG HIỂN THỊ DỮ LIỆU DEMO — ... toàn bộ số liệu thống kê"""
Danh sách sản phẩm quản trị,F-SP-01,TC-SP-01-01,"Mở tab Sản phẩm → đúng danh sách từ DB, không mock",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Tìm kiếm sản phẩm,F-SP-02,TC-SP-02-01,Nhập từ khoá → lọc đúng theo tên/mã,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Tạo sản phẩm,F-SP-03,TC-SP-03-01,Tạo sản phẩm → toast thành công → F5 → vẫn còn,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Tạo sản phẩm,F-SP-03,TC-SP-03-02,"Tắt backend rồi tạo → toast LỖI (không phải ""Đã lưu"" giả)",Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Sửa sản phẩm,F-SP-04,TC-SP-04-01,Sửa tên/giá → F5 → thay đổi được lưu,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Ẩn sản phẩm (xoá mềm),F-SP-05,TC-SP-05-01,Ẩn sản phẩm → biến khỏi danh sách và khỏi storefront,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Xem danh sách bị ẩn / khôi phục,F-SP-06,TC-SP-06-01,"Bấm ""Xem danh sách bị ẩn"" → hiện SP đã ẩn và khôi phục được",Blocked,"R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này · Đã nối nút vào /recycle + /restore (modal ""Sản phẩm đã ẩn""); cần DB để chạy thật"
Chọn ảnh sản phẩm từ kho,F-SP-07,TC-SP-07-01,Chọn ảnh từ kho → ảnh hiện trên form và lưu được,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Xuất JSON sản phẩm,F-SP-08,TC-SP-08-01,Bấm Xuất JSON → tải file JSON danh sách sản phẩm,Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Import sản phẩm,F-SP-09,TC-SP-09-01,Import file JSON → thêm sản phẩm hàng loạt,Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Danh sách biến thể,F-SPCT-01,TC-SPCT-01-01,Double-click sản phẩm → tab chi tiết lọc đúng biến thể của SP đó,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Tạo biến thể,F-SPCT-02,TC-SPCT-02-01,Tạo biến thể (màu/size/giá/tồn) → F5 → vẫn còn,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Tạo biến thể,F-SPCT-02,TC-SPCT-02-02,"Tạo trùng màu+size của cùng SP → phải báo lỗi, không tạo trùng",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Sửa biến thể,F-SPCT-03,TC-SPCT-03-01,Sửa giá/tồn → F5 → thay đổi được lưu,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Ẩn biến thể,F-SPCT-04,TC-SPCT-04-01,Ẩn biến thể → không còn bán được ở POS và storefront,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Nhập kho,F-SPCT-05,TC-SPCT-05-01,"Nhập thêm 10 → tồn tăng đúng 10, F5 vẫn đúng",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Nhập kho,F-SPCT-05,TC-SPCT-05-02,Nhập số âm / rỗng → bị chặn,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Upload ảnh biến thể,F-SPCT-06,TC-SPCT-06-01,Chọn JPG/PNG < 1MB → hiện preview ngay,Pass,R3 2026-08-04 12:05 · vitest src/utils/upload.test.js (5/5) · frontend 132/132
Upload ảnh biến thể,F-SPCT-06,TC-SPCT-06-02,"Chọn file không phải ảnh hoặc ≥ 1MB → toast cảnh báo, không upload",Pass,R3 2026-08-04 12:05 · vitest src/utils/upload.test.js (5/5) · frontend 132/132
Phục vụ ảnh đã upload,F-SPCT-07,TC-SPCT-07-01,Lưu biến thể có ảnh → F5 → ảnh vẫn hiện từ /api/uploads/…,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
CRUD danh mục,F-DM-01,TC-DM-01-01,Thêm/sửa/xoá danh mục → F5 → đúng trạng thái,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Gán sản phẩm vào danh mục,F-DM-02,TC-DM-02-01,Gán SP vào danh mục → SP xuất hiện đúng danh mục ở storefront,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Gán sản phẩm vào danh mục,F-DM-02,TC-DM-02-02,Bỏ SP khỏi danh mục → SP không còn trong danh mục đó,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Xem theo Thương hiệu / Kiểu dáng,F-DM-03,TC-DM-03-01,Đổi chiều xem → danh sách giá trị và SP tương ứng đúng,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Export CSV danh mục,F-DM-04,TC-DM-04-01,"Export → file CSV mở được, đúng nội dung, không lỗi font tiếng Việt",Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Import CSV danh mục,F-DM-05,TC-DM-05-01,Import CSV hợp lệ → thêm đúng danh mục,Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Import CSV danh mục,F-DM-05,TC-DM-05-02,"Import file sai định dạng → báo lỗi rõ, không hỏng dữ liệu",Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
CRUD 8 loại thuộc tính,F-TT-01,TC-TT-01-01,Thêm/sửa/xoá từng loại thuộc tính → F5 → đúng trạng thái,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
CRUD 8 loại thuộc tính,F-TT-01,TC-TT-01-02,Xoá thuộc tính đang được biến thể dùng → phải báo lỗi ràng buộc,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Lọc / tìm thuộc tính,F-TT-02,TC-TT-02-01,Lọc theo loại + tìm từ khoá cho kết quả đúng,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Import/Export CSV thuộc tính,F-TT-03,TC-TT-03-01,Export rồi Import lại chính file đó → không sinh dữ liệu rác,Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Danh sách sản phẩm POS,F-POS-01,TC-POS-01-01,Mở Bán Hàng → danh sách SP kèm tồn thật; SP tồn 0 không thêm được,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Quét QR / nhập mã,F-POS-02,TC-POS-02-01,Quét QR mã biến thể hợp lệ → thêm đúng dòng hàng,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này · Đã thêm ma vào PosSanPhamDto; cần DB để xác nhận
Quét QR / nhập mã,F-POS-02,TC-POS-02-02,Mã không tồn tại → báo lỗi rõ,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Nhập tay dòng hàng,F-POS-03,TC-POS-03-01,Nhập tay → dòng hàng đúng giá và số lượng,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Thêm dòng hàng,F-POS-04,TC-POS-04-01,"Thêm SP → hoá đơn tăng dòng, tổng tiền đúng",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Tăng/giảm số lượng dòng,F-POS-05,TC-POS-05-01,"Tăng vượt tồn → bị chặn, có cảnh báo",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Bỏ sản phẩm khỏi hoá đơn,F-POS-06,TC-POS-06-01,Bỏ dòng → tổng tiền giảm đúng,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Hoàn trả 1 dòng hàng,F-POS-07,TC-POS-07-01,Hoàn trả dòng → tồn kho cộng lại đúng,Fail,"R3 2026-08-04 12:05 · useHoaDon.hoanTra() chỉ đổi nhãn dòng, không gọi API nào. Trả hàng thật đi qua POST /hoa-don/{id}/tra-hang (F-POS-20)"
Tạo hoá đơn chờ,F-POS-08,TC-POS-08-01,"Tạo nhiều hoá đơn chờ song song, mỗi hoá đơn giữ giỏ riêng",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Chuyển / đóng hoá đơn chờ,F-POS-09,TC-POS-09-01,Chuyển qua lại giữa hoá đơn chờ → đúng dòng hàng từng hoá đơn,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Tìm khách hội viên theo SĐT,F-POS-10,TC-POS-10-01,Nhập SĐT có trong DB → gán đúng khách vào hoá đơn,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Tìm khách hội viên theo SĐT,F-POS-10,TC-POS-10-02,SĐT không tồn tại → báo không tìm thấy,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Thêm nhanh khách hàng,F-POS-11,TC-POS-11-01,Thêm khách mới từ POS → lưu vào DB và gán vào hoá đơn,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Khách vãng lai,F-POS-12,TC-POS-12-01,"Chọn Khách lẻ → thanh toán được, hoá đơn ghi Khách lẻ",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Áp phiếu giảm giá,F-POS-13,TC-POS-13-01,Áp phiếu còn hiệu lực → tổng tiền giảm đúng công thức,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này · Đã sửa 3 nguyên nhân (xem TC-POS-13-03/04/05); cần DB để chạy thật
Áp phiếu giảm giá,F-POS-13,TC-POS-13-02,Phiếu hết hạn / chưa đủ điều kiện → không áp được,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Thanh toán tiền mặt,F-POS-14,TC-POS-14-01,"Thanh toán → hoá đơn Thành công, tồn kho trừ, lịch sử ghi nhận",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Thanh toán tiền mặt,F-POS-14,TC-POS-14-02,"Thanh toán khi backend lỗi → toast lỗi, KHÔNG đóng hoá đơn",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Thanh toán chuyển khoản,F-POS-15,TC-POS-15-01,"Hiện QR, bấm ""Đã chuyển khoản"" → hoá đơn hoàn tất",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
In phiếu tạm tính,F-POS-16,TC-POS-16-01,Bấm Phiếu tạm tính → mở print preview với đúng dòng hàng và tổng,Pass,R3 2026-08-04 12:05 · vitest src/utils/receipt.test.js (7/7) · frontend 132/132
In phiếu tạm tính,F-POS-16,TC-POS-16-02,Trình duyệt chặn popup → hiện toast lỗi (không im lặng),Pass,R3 2026-08-04 12:05 · vitest src/utils/receipt.test.js (7/7) · frontend 132/132
Huỷ hoá đơn,F-POS-17,TC-POS-17-01,"Huỷ hoá đơn → trạng thái Huỷ, tồn kho hoàn lại nếu đã trừ",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Tạo đơn giao hàng,F-POS-18,TC-POS-18-01,"Tab Đặt hàng → tạo đơn Chờ giao, hiện ở màn Giao Hàng",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Đánh dấu đã giao (POS),F-POS-19,TC-POS-19-01,"Đã giao → trạng thái đổi, doanh thu ghi nhận",Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Trả hàng (POS),F-POS-20,TC-POS-20-01,"Trả hàng → tồn kho cộng lại, doanh thu trừ ra",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Xuất JSON sản phẩm (POS),F-POS-21,TC-POS-21-01,Bấm Xuất JSON → tải file,Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Import sản phẩm (POS),F-POS-22,TC-POS-22-01,"Import JSON {ma, soLuong} → thêm dòng hàng hàng loạt",Not run,"R3 2026-08-04 12:05 · CHỜ KIỂM TAY: cần mở trình duyệt, KHÔNG cần DB"
Danh sách đơn giao hàng,F-DH-01,TC-DH-01-01,Mỗi tab trạng thái lọc đúng đơn,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Chi tiết dòng hàng của đơn,F-DH-02,TC-DH-02-01,Chọn đơn → hiện đúng dòng hàng và tổng tiền,Blocked,R3 2026-08-04 12:05 · CHỜ DB: SQL Server localhost:1433 không kết nối được trong vòng này
Đánh dấu đã giao,F-DH-03,TC-DH-03-01,"Đơn Chờ giao → Đã giao, F5 vẫn đúng",Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
Trả hàng,F-DH-04,TC-DH-04-01,Trả hàng → tồn kho cộng lại đúng,Blocked,R3 2026-08-04 12:05 · SQL Server localhost:1433 không kết nối được trong vòng này
In hoá đơn (Giao Hàng),F-DH-05,TC-DH-05-01,"In hoá đơn → preview đủ mã, ngày, khách, dòng hàng, tổng",Pass,R3 2026-08-04 12:05 · vitest src/utils/receipt.test.js (7/7) · frontend 132/132
